27.3c,638
4.5,626
4.2,616
26p,608
10.2a,592
27.17,583
9.3d,580
7.5b,579
3.3a,567
31.13,566
24.2a,553
16.4d,541
27.11,528
27.8b,511
10.11g,511
10.11h,504
25.1,504
25.2b,501
3.4b,492
10.11m,489
3.3,477
32.10,476
9.3e,475
7.9a,474
10.8p,469
9.2b,458
17.4,454
27.1b,452
23.1b,450
7.5e,450
11.2a,449
24.1,436
10.2ac,433
27.9e,431
10.11c,429
15.2,425
3.2b,421
7.11b,420
3.4a,419
10.11i,419
27.9f,417
27.12,416
31.1e,407
7.5a,404
3.2p,403
10.2ea,403
33.1,397
3.2a,395
10.5p,395
32.9,392
3.4c,383
27.3b,378
32.7,374
10.11b,373
10.3p,369
27.19,368
16.4c,366
11.3b,363
6.2b,355
27.16,353
7.10b,352
11.2c,351
27.14,342
10.2b,337
32.1b,335
10.2c,334
7.12d,332
7.12c,328
7.4,326
27.5,322
22.1,305
27.9d,304
7.6c,300
36,295
7.15b,285
19.5p,284
4.4,283
27.15,282
7.12a,281
3.5ca,280
27.6,278
5.4,266
7.12,265
16.4b,262
10.3d,262
10.1b,252
7.2a,250
10.2aa,249
10.2eb,248
23.4,247
27.9b,244
10.15,227
10.15p,222
27.3a,218
29p,218
10.4p,213
26,202
9.3a,199
11.3d,190
10.14p,181
16.4,178
10.11d,175
10.2dc,170
11.1b,169
10.2da,168
7.12e,163
19.3p,159
35p,154
10.2e,144
10.2ep,142
3.5ba,132
11.1c,122
7.11c,121
4.7,120
7.5f,118
7.2,104
27.3e,101
5.6,100
10.1,100
9.1,98
10.2ab,90
10.3a,84
27.18,75
4.6,75
24.2,73
10.10p,72
19,72
27.9,63
25.2,59
7.8b,53
9.1b,51
16.4a,49
9.1a,38
10.2db,34
36p,31
11.3c,23
10.1a,22
10.2d,21
7.1b,9
6,1
0.0p,1
39p,1
